date,vix,log_vix,spy_rv,hyg_rv,ps_innov,ps_illiq
2020-01-22,12.90999984741211,2.5580021930391945,0.07135731157556072,0.023087938585119507,0.02122218,-0.02122218
2020-02-20,15.5600004196167,2.744703545717899,0.1323002459214247,0.05698845078970507,-0.01470322,0.01470322
2020-03-19,72.0,4.276666119016055,0.8091219226544051,0.3519628288113917,0.02405276,-0.02405276
2020-04-17,38.150001525878906,3.641525797727291,0.5647373419543235,0.3971312840747722,-0.16401914,0.16401914
2020-05-15,31.889999389648438,3.4622924618826887,0.26938387406677056,0.1514115039692781,-0.02408057,0.02408057
2020-06-15,34.400001525878906,3.5380566087362966,0.2835538328070784,0.13791316969318176,-0.06989159,0.06989159
2020-07-14,29.520000457763672,3.3850680152391712,0.19814515292262883,0.09617025674171976,0.01935011,-0.01935011
2020-08-11,24.030000686645508,3.1793030783228886,0.10944306258246614,0.061247863930172924,0.07282782,-0.07282782
2020-09-09,28.809999465942383,3.3607225305592063,0.2045580239080965,0.06319448539765274,-0.01228093,0.01228093
2020-10-07,28.059999465942383,3.3343450556416125,0.21129714278723352,0.07276500401185142,-0.12009975,0.12009975
2020-11-04,29.56999969482422,3.386760323543933,0.21764179479393192,0.07318343348154957,0.03214371,-0.03214371
2020-12-03,21.280000686645508,3.057767696740619,0.15200915641538223,0.0590349464408655,0.0653928,-0.0653928
2021-01-04,26.969999313354492,3.294725111692035,0.10001364563341421,0.03427777560191279,0.0127548,-0.0127548
2021-02-02,25.559999465942383,3.241028608615061,0.17624416580966698,0.036955726882340854,0.06211251,-0.06211251
2021-03-03,26.670000076293945,3.2835393410545883,0.1606790576908536,0.052497542579453216,-0.04761208,0.04761208
2021-03-31,19.399999618530273,2.9652730464058945,0.14871766172271253,0.056882631365023466,-0.00933628,0.00933628
2021-04-29,17.610000610351562,2.8684669571674872,0.09947706762840278,0.0320922452985682,-0.00933628,0.00933628
2021-05-27,16.739999771118164,2.817801051388579,0.14076114661509095,0.03655455308169542,-0.02828946,0.02828946
2021-06-25,15.619999885559082,2.748552137084977,0.09516340642366004,0.020113283307408525,-0.01047231,0.01047231
2021-07-26,17.579999923706055,2.866761887917216,0.10891945802930317,0.037532608332478165,0.00354027,-0.00354027
2021-08-23,17.149999618530273,2.841998151368816,0.08127907156469692,0.03564916852034199,0.03830307,-0.03830307
2021-09-21,24.360000610351562,3.1929424678971787,0.1041491295312702,0.02830557553316775,0.03166787,-0.03166787
2021-10-19,15.699999809265137,2.753660700205545,0.14800492690068925,0.03757736562255296,-0.00183064,0.00183064
2021-11-16,16.3700008392334,2.7954504426495905,0.0670407767725416,0.03830813018512823,-0.00837262,0.00837262
2021-12-15,19.290000915527344,2.959586874378878,0.18072619778042126,0.05961475918756463,0.02907322,-0.02907322
2022-01-13,20.309999465942383,3.0111133492969895,0.15895547319843542,0.04941460976031569,0.07439954,-0.07439954
2022-02-11,27.360000610351562,3.3090821150625205,0.21835834453954037,0.0625496343993658,-0.04622693,0.04622693
2022-03-14,31.770000457763672,3.4585224626901017,0.2407748869723771,0.08841064973905963,-0.0720787,0.0720787
2022-04-11,24.3700008392334,3.1933529020742664,0.18870464176963522,0.12652443526297333,-0.02466016,0.02466016
